KW,cold,hot,KW,cold,hot
13882.9,13690.88028,2576.470588,13882.9,13690.88028,2576.470588
13506.45,12284.78873,2735.294118,13506.45,12284.78873,2735.294118
13068.55,11472.35915,2629.411765,13068.55,11472.35915,2629.411765
13094.88,10406.19718,2650,13094.88,10406.19718,2650
15659.95,8934.15493,2676.470588,15659.95,8934.15493,2676.470588
15477.63,7940.387324,2600,15477.63,7940.387324,2600
15424.47,7257.887324,2579.411765,15424.47,7257.887324,2579.411765
15313.85,7159.788732,2564.705882,15313.85,7159.788732,2564.705882
15341.02,6975.457746,2564.705882,15341.02,6975.457746,2564.705882
15156.02,6981.93662,2526.470588,15156.02,6981.93662,2526.470588
15184.18,7236.021127,2697.058824,15184.18,7236.021127,2697.058824
15650.43,7404.577465,2852.941176,15650.43,7404.577465,2852.941176
14579.52,7960.985915,2997.058824,14579.52,7960.985915,2997.058824
13758.92,7680.950704,3097.058824,13758.92,7680.950704,3097.058824
13849.73,8227.852113,2923.529412,13849.73,8227.852113,2923.529412
13645.52,8867.605634,2823.529412,13645.52,8867.605634,2823.529412
13967.28,9240.211268,2661.764706,13967.28,9240.211268,2661.764706
14148.67,10407.8169,2485.294118,14148.67,10407.8169,2485.294118
14265.68,11631.79577,2447.058824,14265.68,11631.79577,2447.058824
14586.38,12916.30282,2302.941176,14586.38,12916.30282,2302.941176
14620.42,14744.75352,2302.941176,14620.42,14744.75352,2302.941176
14415.75,15462.46479,2282.352941,14415.75,15462.46479,2282.352941
14204.3,15219.15493,2279.411765,14204.3,15219.15493,2279.411765
13801.4,14241.23239,2388.235294,13801.4,14241.23239,2388.235294
13527.88,12314.3662,2485.294118,13527.88,12314.3662,2485.294118
13273.5,11065.73944,2635.294118,13273.5,11065.73944,2635.294118
12835.38,10733.27465,2620.588235,12835.38,10733.27465,2620.588235
12576.63,9468.732394,2667.647059,12576.63,9468.732394,2667.647059
13942.35,7990,2605.882353,13942.35,7990,2605.882353
14851.92,7009.366197,2635.294118,14851.92,7009.366197,2635.294118
15347.2,6771.619718,2547.058824,15347.2,6771.619718,2547.058824
15384.52,6985.105634,2579.411765,15384.52,6985.105634,2579.411765
15346.65,6925.985915,2608.823529,15346.65,6925.985915,2608.823529
15252.75,7119.119718,2667.647059,15252.75,7119.119718,2667.647059
15208.88,7703.169014,2638.235294,15208.88,7703.169014,2638.235294
15395.3,7698.697183,2750,15395.3,7698.697183,2750
14995.85,7906.267606,2858.823529,14995.85,7906.267606,2858.823529
12929.27,7756.161972,2970.588235,12929.27,7756.161972,2970.588235
12296.22,7645.56338,2829.411765,12296.22,7645.56338,2829.411765
14140.73,9701.126761,2502.941176,14140.73,9701.126761,2502.941176
14226.2,10933.16901,2441.176471,14226.2,10933.16901,2441.176471
14046.23,11292.78169,2564.705882,14046.23,11292.78169,2564.705882
14451.2,12387.88732,2479.411765,14451.2,12387.88732,2479.411765
15237.95,13311.26761,2417.647059,15237.95,13311.26761,2417.647059
15276.02,13676.37324,2411.764706,15276.02,13676.37324,2411.764706
15347.58,14113.97887,2376.470588,15347.58,14113.97887,2376.470588
15170.35,13670.24648,2432.352941,15170.35,13670.24648,2432.352941
15050.15,12892.35915,2608.823529,15050.15,12892.35915,2608.823529
15018.98,11773.76761,2691.176471,15018.98,11773.76761,2691.176471
14250.6,10893.94366,2664.705882,14250.6,10893.94366,2664.705882
13586.55,9643.767606,2702.941176,13586.55,9643.767606,2702.941176
13342.57,9133.767606,2697.058824,13342.57,9133.767606,2697.058824
13006.13,8470.84507,2617.647059,13006.13,8470.84507,2617.647059
12560.9,7985.28169,2652.941176,12560.9,7985.28169,2652.941176
12155.77,7471.267606,2611.764706,12155.77,7471.267606,2611.764706
11934.05,7182.887324,2658.823529,11934.05,7182.887324,2658.823529
11187.88,6754.612676,2685.294118,11187.88,6754.612676,2685.294118
11820.2,6950.176056,2741.176471,11820.2,6950.176056,2741.176471
12071.63,7283.133803,2764.705882,12071.63,7283.133803,2764.705882
12307.03,7315.809859,2835.294118,12307.03,7315.809859,2835.294118
12479.12,7396.971831,3091.176471,12479.12,7396.971831,3091.176471
12598.95,7412.464789,3152.941176,12598.95,7412.464789,3152.941176
12525.33,7501.549296,3041.176471,12525.33,7501.549296,3041.176471
12722.23,8102.359155,2591.176471,12722.23,8102.359155,2591.176471
13300.5,9741.197183,2508.823529,13300.5,9741.197183,2508.823529
14117.03,11454.92958,2388.235294,14117.03,11454.92958,2388.235294
15069.88,13251.51408,2388.235294,15069.88,13251.51408,2388.235294
15348.13,14265.28169,2394.117647,15348.13,14265.28169,2394.117647
15488.98,15210.56338,2282.352941,15488.98,15210.56338,2282.352941
15439.23,15662.00704,2238.235294,15439.23,15662.00704,2238.235294
15451.4,15524.11972,2252.941176,15451.4,15524.11972,2252.941176
15135.45,14352.88732,2382.352941,15135.45,14352.88732,2382.352941
15014.4,12911.26761,2450,15014.4,12911.26761,2450
14612.27,11762.42958,2623.529412,14612.27,11762.42958,2623.529412
13553.48,10773.62676,2626.470588,13553.48,10773.62676,2626.470588
13176.8,10159.33099,2582.352941,13176.8,10159.33099,2582.352941
13081.8,9627.323944,2573.529412,13081.8,9627.323944,2573.529412
12615.05,8304.683099,2594.117647,12615.05,8304.683099,2594.117647
12567.27,7640.176056,2635.294118,12567.27,7640.176056,2635.294118
12231.32,7273.626761,2585.294118,12231.32,7273.626761,2585.294118
12071.4,7083.697183,2720.588235,12071.4,7083.697183,2720.588235
12035.18,6824.683099,2708.823529,12035.18,6824.683099,2708.823529
12169.78,6832.253521,2867.647059,12169.78,6832.253521,2867.647059
12578.13,7209.859155,3026.470588,12578.13,7209.859155,3026.470588
13173.48,7285.492958,3085.294118,13173.48,7285.492958,3085.294118
13435.1,7357.640845,3158.823529,13435.1,7357.640845,3158.823529
13012.05,7267.007042,3008.823529,13012.05,7267.007042,3008.823529
12928.3,7600.387324,2744.117647,12928.3,7600.387324,2744.117647
13268.17,8625.105634,2550,13268.17,8625.105634,2550
13125.27,9692.429577,2417.647059,13125.27,9692.429577,2417.647059
13538.45,11255.88028,2358.823529,13538.45,11255.88028,2358.823529
13927.63,13168.20423,2394.117647,13927.63,13168.20423,2394.117647
13936.78,14185.73944,2288.235294,13936.78,14185.73944,2288.235294
13837.9,14962.35915,2226.470588,13837.9,14962.35915,2226.470588
13689.4,15263.34507,1891.176471,13689.4,15263.34507,1891.176471
13540.55,14480,1970.588235,13540.55,14480,1970.588235
13407.85,13092.5,2005.882353,13407.85,13092.5,2005.882353
13282.3,11989.29577,2241.176471,13282.3,11989.29577,2241.176471
14066.48,10860.21127,2194.117647,14066.48,10860.21127,2194.117647
14388.6,10053.66197,2182.352941,14388.6,10053.66197,2182.352941
15493.25,8042.605634,2238.235294,15493.25,8042.605634,2238.235294
15279.45,7637.640845,2123.529412,15279.45,7637.640845,2123.529412
15120.35,7434.225352,2079.411765,15120.35,7434.225352,2079.411765
15057.6,7356.478873,2044.117647,15057.6,7356.478873,2044.117647
14903.05,7359.577465,2020.588235,14903.05,7359.577465,2020.588235
14827.77,7248.028169,2044.117647,14827.77,7248.028169,2044.117647
13080.48,7315.56338,2197.058824,13080.48,7315.56338,2197.058824
12799.62,7667.992958,2335.294118,12799.62,7667.992958,2335.294118
13447.47,8302.711268,2482.352941,13447.47,8302.711268,2482.352941
